endpoint,cycle_len,method,min_edge_support_bucket,min_node_degree_bucket,n,mean_abs_closure,std_abs_closure,median_abs_closure,mean_signed_closure
IC50,4,somol_robust_blend_bucket,02_5_19,02_10_99,89,0.10923163533439267,0.057123680355659436,0.0998854882946072,0.003428300772903399
IC50,4,somol_robust_blend_bucket,03_20_99,01_1_9,1322,0.06154893778482698,0.08105748798841937,0.03411494103706214,0.003055526255379537
IC50,4,somol_robust_blend_bucket,03_20_99,02_10_99,125,0.013815529973149667,0.00821940628029569,0.011984038178644832,-0.001851639539843746
IC50,4,somol_robust_blend_bucket,04_100plus,01_1_9,136,0.02061939016229188,0.029067525717989456,0.0014964826705136103,-0.0017466039675305967
KD,3,empirical_delta,01_1_4,01_1_9,88,0.4481448387663539,0.3739274166011049,0.5215473783566029,-3.532527805625498e-17
KD,3,empirical_delta,02_5_19,01_1_9,672,0.21603577021250575,0.19881421726029647,0.13826011873183264,1.2163715801789754e-17
KD,3,empirical_delta,04_100plus,01_1_9,10,0.0,0.0,0.0,0.0
KD,3,gauge_selector_micro,01_1_4,01_1_9,88,0.40503597365351623,0.3830029626116283,0.26112625660838573,-0.04033578253912672
KD,3,gauge_selector_micro,02_5_19,01_1_9,672,0.2615694869564779,0.1501703002926373,0.26531054933759673,0.01457680265097688
KD,3,gauge_selector_micro,04_100plus,01_1_9,10,4.275098793489936e-14,2.334814763932444e-14,4.500103993147301e-14,-6.7501559897209515e-15
KD,3,somol_robust_blend_bucket,01_1_4,01_1_9,88,0.4857288069099828,0.37504762610481435,0.4467534052975658,-0.036018425010696596
KD,3,somol_robust_blend_bucket,02_5_19,01_1_9,672,0.25062999021115584,0.14746156366864946,0.23964001402273782,0.02116881249989249
KD,3,somol_robust_blend_bucket,04_100plus,01_1_9,10,3.280338963425796e-14,3.6735984997408144e-14,1.7171449447535753e-14,-3.671137468093851e-15
KD,4,empirical_delta,01_1_4,01_1_9,10,0.4076245864089832,0.16434056991749324,0.3921635418677649,-1.3600232051658169e-16
KD,4,empirical_delta,02_5_19,01_1_9,540,0.22604509264298178,0.2305338360257538,0.14918615345859823,8.635067969306773e-18
KD,4,gauge_selector_micro,01_1_4,01_1_9,10,0.1664418079181897,0.15979864916103373,0.1530024155821165,0.01108367477601129
KD,4,gauge_selector_micro,02_5_19,01_1_9,540,0.3143845077902894,0.19685213383270056,0.3460380855368962,0.017080806999501427
KD,4,somol_robust_blend_bucket,01_1_4,01_1_9,10,0.24186577490575015,0.11480639981199782,0.23654525327753645,0.01498222596996061
KD,4,somol_robust_blend_bucket,02_5_19,01_1_9,540,0.3044047407329094,0.18598344078067522,0.3417694562102786,0.02889360122044955
KI,3,empirical_delta,01_1_4,01_1_9,4975,0.10393481249507452,0.2807950562623127,0.0,-0.006221485689825173
KI,3,empirical_delta,01_1_4,02_10_99,7582,0.09552502572394059,0.28102638861973905,3.9474596431116675e-16,0.00035854046217902137
KI,3,empirical_delta,02_5_19,01_1_9,709,0.03190791827584201,0.06795402500798446,0.004104426165046249,0.0012439269737401228
KI,3,empirical_delta,02_5_19,02_10_99,1064,0.05272322941248345,0.09329699928439017,0.011361475196770776,-0.0012301109415137337
KI,3,empirical_delta,03_20_99,01_1_9,276,0.0030186703618325737,0.00797693571129178,0.00010530433617006452,-9.337355247532997e-06
KI,3,empirical_delta,03_20_99,02_10_99,234,0.014701783120971423,0.031126010226886165,0.0006410592486540227,0.003892108948048706
KI,3,empirical_delta,04_100plus,01_1_9,160,0.0011627455713542159,0.0018952732649677045,8.07441470760395e-05,-2.2455075331164386e-05
KI,3,gauge_selector_micro,01_1_4,01_1_9,4975,0.08896671056368669,0.24943708320537603,0.00023106555943365315,-0.004189665065518605
KI,3,gauge_selector_micro,01_1_4,02_10_99,7582,0.06872026257046586,0.19198291287992258,0.004290971984601674,-0.0026578119111767247
KI,3,gauge_selector_micro,02_5_19,01_1_9,709,0.03514934205344279,0.06478954962328981,0.004526514403381476,-0.0006962389291382012
KI,3,gauge_selector_micro,02_5_19,02_10_99,1064,0.0634720489558032,0.11496440814324375,0.0077561439153223735,-0.0036696344268019763
KI,3,gauge_selector_micro,03_20_99,01_1_9,276,0.009622238599253938,0.022223235924718386,0.0009024303717131391,-0.0009036742857906522
KI,3,gauge_selector_micro,03_20_99,02_10_99,234,0.04586267216863817,0.10092617928901891,0.0033389032435774033,0.007251796057544251
KI,3,gauge_selector_micro,04_100plus,01_1_9,160,0.09125301107796938,0.12268126211607926,0.0010336457098418055,0.006181620343254732
KI,3,somol_robust_blend_bucket,01_1_4,01_1_9,4975,0.09341720883558903,0.315973838656812,1.142177316084927e-06,-0.005034394437274267
KI,3,somol_robust_blend_bucket,01_1_4,02_10_99,7582,0.06826537923244685,0.2010571677145933,0.0010211541889352126,-0.0005198146059075492
KI,3,somol_robust_blend_bucket,02_5_19,01_1_9,709,0.03860623966180024,0.07265758486103695,0.0015655524386343582,0.002763132311879575
KI,3,somol_robust_blend_bucket,02_5_19,02_10_99,1064,0.06312017763595389,0.13390019711043652,0.009045483690918696,-0.018780529530629083
KI,3,somol_robust_blend_bucket,03_20_99,01_1_9,276,0.006961513747726816,0.022279779272863835,4.5838565911153026e-05,2.356449040818308e-05
KI,3,somol_robust_blend_bucket,03_20_99,02_10_99,234,0.015017743052748778,0.036662497034943564,4.623181268649369e-05,-0.0033246063993441857
KI,3,somol_robust_blend_bucket,04_100plus,01_1_9,160,0.09987047614370265,0.1347407375413594,7.154770603139898e-15,0.0018359355589274418
KI,4,empirical_delta,01_1_4,01_1_9,5427,0.16692105298734275,0.3808856746637764,0.004543181008017576,-0.005982054556292426
KI,4,empirical_delta,01_1_4,02_10_99,8118,0.11375877704227859,0.2967938944079052,0.0008409785389331681,0.0008427397470689129
KI,4,empirical_delta,02_5_19,01_1_9,487,0.035819190327779665,0.0745998388510278,0.005627142030247612,0.0027969238279520023
KI,4,empirical_delta,02_5_19,02_10_99,678,0.056084767763372914,0.09734478444561631,0.017976260394564313,-0.00232001177054174
KI,4,empirical_delta,03_20_99,01_1_9,116,0.0034594312198815602,0.007442292170592137,0.0003361377122796938,0.0014623127905190282
KI,4,empirical_delta,03_20_99,02_10_99,70,0.018373012206873346,0.03687256624695931,0.002304638976601936,0.0018329516506618983
KI,4,empirical_delta,04_100plus,01_1_9,104,0.0020361626650169727,0.002199696732794421,0.0013579995785562016,-0.00025705479108929964
KI,4,gauge_selector_micro,01_1_4,01_1_9,5427,0.13635813133870167,0.33294223391363936,0.009381732454204558,-0.005423066604144594
KI,4,gauge_selector_micro,01_1_4,02_10_99,8118,0.09754589965039305,0.4470626764500017,0.007646468440617708,-0.004382159448601977
KI,4,gauge_selector_micro,02_5_19,01_1_9,487,0.03341707861298508,0.05659892943445258,0.006335118669375787,-0.0015169097314373958
KI,4,gauge_selector_micro,02_5_19,02_10_99,678,0.08817486827099846,0.15216984424961988,0.01564497572011873,-0.018332900467997643
KI,4,gauge_selector_micro,03_20_99,01_1_9,116,0.005319417129279049,0.010285540527626421,0.0016869701542597444,0.0008691652278066192
KI,4,gauge_selector_micro,03_20_99,02_10_99,70,0.05314405747107113,0.11070308068555255,0.0028401122321007888,0.007193108910271903
KI,4,gauge_selector_micro,04_100plus,01_1_9,104,0.1476818199340228,0.126654380860111,0.2281184678428692,0.013097208612070737
KI,4,somol_robust_blend_bucket,01_1_4,01_1_9,5427,0.14290898937238009,0.384357038677568,0.002800211917246035,-0.006169299305673961
KI,4,somol_robust_blend_bucket,01_1_4,02_10_99,8118,0.10081233195297178,0.34986289929653774,0.00390195680559835,-0.005056004129811181
KI,4,somol_robust_blend_bucket,02_5_19,01_1_9,487,0.03105317676439825,0.054209663974778825,0.001682859893591478,0.002561918658851103
KI,4,somol_robust_blend_bucket,02_5_19,02_10_99,678,0.0809682068242059,0.15824053468989424,0.015728297767944738,-0.03003237631441921
