endpoint,seed,feature,level_type,level,n,raw_mae,primary_mae,baseline_mae,graph_mae,delta_baseline_minus_primary,raw_to_primary_gap_closed,primary_shift_abs,baseline_shift_abs
IC50,23,assay_organism_first,transition,Sus scrofa->Sus scrofa,20,0.23038103629287798,0.13955711753432518,0.13599557117161423,0.13895366615725463,-0.0035615463627109434,0.3942334847521499,0.16592852093871807,0.16773675704640584
IC50,23,assay_organism_first,transition,Tetronarce californica->Tetronarce californica,12,0.8329438914490104,0.6653065173511687,0.6653065173511689,0.6653065173511689,1.1102230246251565e-16,0.2012589032932523,0.7101555704030044,0.7101555704030046
IC50,23,assay_organism_first,transition,Toxoplasma gondii->Toxoplasma gondii,278,0.14659244593524884,0.16162018231259043,0.161407425214293,0.15685750777622837,-0.0002127570982974336,-0.10251371604768414,0.029844925308998755,0.02590851428622283
IC50,23,assay_organism_first,transition,Trypanosoma cruzi->Trypanosoma cruzi,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC50,23,assay_organism_first,transition,Zea mays->Zea mays,28,0.5583456863482533,0.6519730619381863,0.7189590669787832,0.6792181449444066,0.06698600504059693,-0.16768711190782865,0.0936925231472523,0.1606785281878491
IC50,23,assay_organism_first,transition,Zika virus->Zika virus,16,0.6131719181919902,0.3137843895622634,0.3137843895622635,0.3137843895622635,1.1102230246251565e-16,0.4882603389804711,0.4083391185791242,0.4083391185791241
IC50,23,assay_organism_first,transition,dengue virus type 2->dengue virus type 2,66,0.2511331512767125,0.23492440124400193,0.23492440124400193,0.23492440124400193,0.0,0.06454245467119094,0.08225871180631764,0.08225871180631768
IC50,23,context_class,same_vs_different,different,7010,0.7752245439524171,0.397682355493272,0.40411216453361376,0.4000101419189377,0.0064298090403417385,0.487010107464191,0.5734279202047509,0.5933796142421669
IC50,23,context_class,same_vs_different,same,46106,0.3156522209735009,0.16038243899938434,0.16317207320046467,0.16140712979488972,0.002789634201080332,0.49190143980375,0.24128713242536579,0.24828703537747326
IC50,23,context_class,transition,cell_based->cell_based,3106,0.6229404690539412,0.31436059279665124,0.3245343938556521,0.318045215111129,0.010173801059000842,0.49536013726308353,0.5108069687931655,0.5252186117289139
IC50,23,context_class,transition,cell_based->organism_only,2927,0.7255083248697001,0.3713118181057074,0.37874195231335256,0.37538692836757037,0.007430134207645156,0.488204607200897,0.5404073911870563,0.5610724444696128
IC50,23,context_class,transition,cell_based->tissue_based,99,1.1301721020790847,0.5873543146399726,0.5865715691420228,0.5819348629609321,-0.0007827454979497661,0.48029657292065064,0.9011909857825878,0.9150630565728262
IC50,23,context_class,transition,organism_only->cell_based,2927,0.7255083248697001,0.3880922952617074,0.39618851476016737,0.39195282690918337,0.008096219498459956,0.46507533827208936,0.5358365065360404,0.5546155978252791
IC50,23,context_class,transition,organism_only->organism_only,42748,0.29195037635386634,0.14783277818202276,0.15003609647499547,0.14866518798636377,0.0022033182929727113,0.49363730909242587,0.22153477677555425,0.2280258605607816
IC50,23,context_class,transition,organism_only->subcellular_fraction,20,0.5388324281021681,0.1695973697500382,0.17404266336154012,0.17085018625774334,0.0044452936115019215,0.6852502542443849,0.4114852839054327,0.4130206637817693
IC50,23,context_class,transition,organism_only->tissue_based,449,1.0316128256879367,0.4942435759325553,0.49457572512721526,0.4882118754961163,0.0003321491946599586,0.520902063617747,0.7488128237450749,0.7718430417333838
IC50,23,context_class,transition,subcellular_fraction->organism_only,20,0.5388324281021681,0.20741394762870996,0.2131597178133195,0.20879909678355707,0.005745770184609533,0.6150678080767215,0.3665972723570647,0.36382147248377344
IC50,23,context_class,transition,subcellular_fraction->tissue_based,10,0.7741314257853567,0.782054055666278,0.7824357195351401,0.7818904854367652,0.00038166386886218095,-0.010234218140522824,0.01067028222894315,0.008304293749783387
IC50,23,context_class,transition,tissue_based->cell_based,99,1.1301721020790847,0.49646280026180245,0.4936679022049585,0.49033997090614134,-0.002794898056843964,0.56071929279753,0.9410687221517549,0.9590050102634491
IC50,23,context_class,transition,tissue_based->organism_only,449,1.0316128256879367,0.4735040404270452,0.472666395919504,0.46657823819431277,-0.000837644507541202,0.5410060551435211,0.7465668500738415,0.7710520909936359
IC50,23,context_class,transition,tissue_based->subcellular_fraction,10,0.7741314257853567,0.7800131156439867,0.7800971424262652,0.7799771041658675,8.402678227847904e-05,-0.007597792393795468,0.008629342206652435,0.005965716640908436
IC50,23,context_class,transition,tissue_based->tissue_based,252,0.5488631545540255,0.3914013077543929,0.40263780774548674,0.3922588577259671,0.011236499991093829,0.2868872605004374,0.270037479884726,0.2719982453630302
IC50,23,readout_class,same_vs_different,different,16532,0.562190075295377,0.30870033084552606,0.31680596288009405,0.31124364343725996,0.008105632034567989,0.45089686849535077,0.3881772465394118,0.40310016753653005
IC50,23,readout_class,same_vs_different,same,36584,0.2923042594721053,0.13882878239053176,0.13991366996576488,0.1394169119798316,0.0010848875752331177,0.525053850938562,0.2385514981535552,0.24445279847030005
IC50,23,readout_class,transition,absorbance_color->absorbance_color,1078,0.1913728444878278,0.10878683941733566,0.11330709462913278,0.10820292644730545,0.004520255211797122,0.4315450569359384,0.13107425098667824,0.13442409132163172
IC50,23,readout_class,transition,absorbance_color->binding,8,0.40680811258364225,0.17295052068690897,0.14899340797179172,0.1689784863577084,-0.023957112715117246,0.5748597057504617,0.3020005555938793,0.34092254629600693
IC50,23,readout_class,transition,absorbance_color->cell_viability,1,1.3679767852945943,1.4096822354116458,1.3679767852945943,1.4580231957711973,-0.04170545011705151,-0.03048695750203848,0.04170545011705151,0.0
IC50,23,readout_class,transition,absorbance_color->enzyme_activity,331,0.3303093161635232,0.2790148098879045,0.2945985234033821,0.28624719133010834,0.015583713515477604,0.15529233892460004,0.0984074431047667,0.11692795906547443
IC50,23,readout_class,transition,absorbance_color->fluorescence,215,0.4952247657190698,0.2526383215621127,0.22074497008688188,0.23150329994294247,-0.03189335147523081,0.48985119676864286,0.29584222819834366,0.3745301051825855
IC50,23,readout_class,transition,absorbance_color->htrf_alphascreen,7,0.3110990861532573,0.24904160192125474,0.250760166462234,0.24797275673059094,0.0017185645409792394,0.19947819519286883,0.26087309275332377,0.2586094666309146
IC50,23,readout_class,transition,absorbance_color->luminescence,9,0.5533768981629975,0.5302141542757064,0.5533768981629975,0.5287645524155634,0.023162743887291115,0.04185708504309212,0.0235780361498106,0.0
IC50,23,readout_class,transition,absorbance_color->not_extracted,159,0.4646377294608817,0.42963973925609217,0.4248647554344909,0.43273584015069694,-0.004774983821601242,0.07532317757621115,0.14011424879868314,0.15271297905151904
IC50,23,readout_class,transition,absorbance_color->radio,20,0.42461591339943183,0.3394298195942246,0.3625366433285688,0.3062273822476812,0.023106823734344195,0.20061917398058882,0.09776657408449134,0.08359349259579289
