route_group,source_type,method,scope,n_runs,mean_mae,std_mae,mean_rmse,std_rmse,mean_bias,mean_n,mean_groups
direct_competitor,ours_rerun_same_split,calibration_grid_selector_macro_assay_pair,macro_target,20,0.26824478042526595,0.07991377009574416,0.3518158313844047,0.08503867245579877,0.0031635650665799557,24633.1,243.6
direct_competitor,ours_rerun_same_split,calibration_grid_selector_macro_assay_pair,macro_assay_pair,20,0.35425463060431434,0.10281323582783498,0.3762004830188931,0.10531256919289915,-0.00269085628273632,24633.1,9280.1
direct_competitor,ours_rerun_same_split,calibration_grid_selector_macro_target,micro,20,0.19766819307321967,0.036093060825291796,0.45494902135071114,0.061192560984413044,0.0013166792475644696,24633.1,1.0
direct_competitor,ours_rerun_same_split,calibration_grid_selector_macro_target,macro_target,20,0.2645042032144825,0.07941807461649099,0.3477603785509914,0.08499941687551214,0.00333659004955414,24633.1,243.6
direct_competitor,ours_rerun_same_split,calibration_grid_selector_macro_target,macro_assay_pair,20,0.3571033071721127,0.1030667831365469,0.3788970244257101,0.10598743558793243,0.004438472517865303,24633.1,9280.1
direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,micro,20,0.19632337729256627,0.03571899154407295,0.4504905500091567,0.055808358465491495,-0.0003018021457923049,24633.1,1.0
direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,macro_target,20,0.26984797618250733,0.08035667732317767,0.3539768714309014,0.0859090422080685,0.002458320078374305,24633.1,243.6
direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,macro_assay_pair,20,0.35528801822614675,0.10339803663460526,0.3773975713082586,0.10584837766372407,-0.0017007914171845897,24633.1,9280.1
method_comparison,ours_rerun_same_split,deming_bias_fallback,micro,20,0.2663165199137768,0.07122036529788568,1.8789143009028986,1.529899775656837,0.008080949231741234,24633.1,1.0
method_comparison,ours_rerun_same_split,deming_bias_fallback,macro_target,20,0.4267406417381948,0.2144996837328603,0.7130551238145639,0.3670894125727467,0.002379281709967486,24633.1,243.6
method_comparison,ours_rerun_same_split,deming_bias_fallback,macro_assay_pair,20,0.4296622934241766,0.13633869556196027,0.4685407395856814,0.15199870520144437,-0.0037884293076758694,24633.1,9280.1
method_comparison,ours_rerun_same_split,odr_tls_bias_fallback,micro,20,0.26610405010947097,0.07122758831496744,1.878861012083312,1.5299064832300144,0.007996691870966355,24633.1,1.0
method_comparison,ours_rerun_same_split,odr_tls_bias_fallback,macro_target,20,0.4263215027764204,0.21463423566320824,0.7128172318286007,0.36714845139948726,0.002341474355370353,24633.1,243.6
method_comparison,ours_rerun_same_split,odr_tls_bias_fallback,macro_assay_pair,20,0.4293657658886185,0.13617930834498362,0.46824411330491955,0.1518511097859999,-0.00392373008308094,24633.1,9280.1
method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,micro,20,0.18995988934355698,0.0359347269110069,0.4572602295974967,0.06793711722651287,0.000680545537918885,24633.1,1.0
method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,macro_target,20,0.25413167108366597,0.07618148739300887,0.34425335224958176,0.08607591153879282,-0.0008551832015388649,24633.1,243.6
method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,macro_assay_pair,20,0.347997432201176,0.10953033274577896,0.3732945006146477,0.11111433179220238,-0.0031883978577283796,24633.1,9280.1
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k1,micro,20,0.8489925519234054,0.521288752699388,2.564949795150234,1.2350270212036847,-0.03320494284415909,24633.1,1.0
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k1,macro_target,20,1.00912687793203,0.31862691579006197,1.391789213607985,0.3474876142169619,-0.02926273101763858,24633.1,243.6
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k1,macro_assay_pair,20,1.1636460911358313,0.4906052686213279,1.1909604518518324,0.49466475445213953,-0.07845782045044244,24633.1,9280.1
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k20,micro,20,0.5413582762424208,0.12933324084470946,1.2083793105195215,0.5773285572206266,-0.003677787385177195,24633.1,1.0
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k20,macro_assay_pair,20,0.7517178657557166,0.1973691702954229,0.7770345927819798,0.2005234816395067,-0.010915236658720871,24633.1,9280.1
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k20,macro_target,20,0.7666502005985077,0.11973270565838835,0.9956644085165017,0.1975878048816879,0.05113079355399055,24633.1,243.6
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k5,micro,20,0.5931291037606724,0.15485847944149556,1.6186626210449024,0.8966694729537872,0.0025850991866183904,24633.1,1.0
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k5,macro_assay_pair,20,0.857773554638983,0.22657559010622902,0.8846523987617967,0.23165092157199127,-0.039878403868782684,24633.1,9280.1
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k5,macro_target,20,0.8714905799467276,0.1649310356140975,1.1859466289990461,0.2795798070862988,0.0015199374315034598,24633.1,243.6
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k1,micro,20,0.7461447592084209,0.5873086179267534,1.4299798634697853,0.8142201621666157,0.001060426693438045,24633.1,1.0
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k1,macro_target,20,0.8004445190936982,0.3470709831712024,0.9650447291937564,0.41352796646407214,0.0032205361115702795,24633.1,243.6
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k1,macro_assay_pair,20,0.9075249966968201,0.5883513379748018,0.9288953804210284,0.5917035077037589,7.006601619946517e-05,24633.1,9280.1
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k20,micro,20,0.450370451907086,0.16364052417070482,0.8734448555428733,0.15445218386163218,4.6414256311208147e-07,24633.1,1.0
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k20,macro_target,20,0.5582178797129502,0.10339111630859929,0.6683910350083854,0.11085875966366668,-3.376250290891855e-06,24633.1,243.6
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k20,macro_assay_pair,20,0.5811553027907873,0.19413293643942953,0.6037971687250512,0.1997576786580943,6.368128368584034e-05,24633.1,9280.1
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k5,micro,20,0.47837596679650546,0.18194991562149265,0.915296425706404,0.16974677277235634,-0.000397981779811535,24633.1,1.0
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k5,macro_target,20,0.5996840537916304,0.1136605613624144,0.7106735876343855,0.12071846844695161,-0.0004920714449442738,24633.1,243.6
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k5,macro_assay_pair,20,0.6224828548128493,0.22970939014314212,0.6453496406822489,0.2356849931304172,0.0004425175773378023,24633.1,9280.1
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k1,micro,20,0.3155105437574332,0.09612616806792858,1.5669837394083947,1.3388259089321026,-0.012891952879595514,24633.1,1.0
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k1,macro_target,20,0.4447791556580986,0.09583403068291337,0.6803801744644192,0.17733917269649557,-0.0037539248065808057,24633.1,243.6
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k1,macro_assay_pair,20,0.6966513093786604,0.2842646853943865,0.7217572969337457,0.28499079861151283,-0.05033848712512856,24633.1,9280.1
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k20,micro,20,0.2602950684327929,0.06138858004069666,0.802180089228002,0.5906986825566436,-0.010660261913874406,24633.1,1.0
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k20,macro_target,20,0.3889519499443184,0.0610603443368312,0.5516426674623224,0.1141164799874196,0.0033623111258065906,24633.1,243.6
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k20,macro_assay_pair,20,0.5292763549522266,0.199336087342645,0.5529660637613738,0.19635841434151735,-0.020960752682817357,24633.1,9280.1
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,micro,20,0.28400480495725017,0.07611158833846801,1.096777077288748,0.8885526797042957,-0.01207845140456596,24633.1,1.0
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,macro_target,20,0.4408091935568918,0.08318356681463383,0.6554113247423987,0.17184671706087376,-0.0031802617165225186,24633.1,243.6
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,macro_assay_pair,20,0.6020998494835728,0.24769712324520105,0.6264609730293735,0.24680987576973,-0.03354291631761097,24633.1,9280.1
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_ridge,micro,20,0.26581733950746467,0.09149403979920052,0.5505671432502026,0.1351070877419241,-0.0009534643077217049,24633.1,1.0
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_ridge,macro_target,20,0.35577350599844026,0.06615665620672824,0.45325206963052167,0.07466883682926923,-0.000898889753164807,24633.1,243.6
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_ridge,macro_assay_pair,20,0.5076146910318224,0.1074017083150951,0.5297512692593673,0.10449253294900827,-0.004708191379766687,24633.1,9280.1
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_ridge_delta,micro,20,0.4089725310169575,0.11146862764422552,0.7310399155577472,0.17389141220103196,9.537552835244988e-08,24633.1,1.0
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_ridge_delta,macro_target,20,0.56535029505894,0.14572506481552605,0.6615106360182671,0.15295369628579977,8.915212702619361e-10,24633.1,243.6
modern_assay_context,ours_rerun_same_split_surrogate,assay_context_ridge_delta,macro_assay_pair,20,0.6026829209342435,0.11063491672383594,0.6247462075377764,0.10778525878044902,-9.144483605371014e-08,24633.1,9280.1
ours,ours_main_same_split,gauge_calibration_selector,micro,20,0.19339644480983043,0.03574101910599562,0.4394500876531179,0.05745170602792971,0.0009092912670946848,24633.1,1.0
ours,ours_main_same_split,gauge_calibration_selector,macro_target,20,0.2660054162687683,0.07677986450688422,0.34663286248669334,0.08215919652404104,0.0038015846352409946,24633.1,243.6
ours,ours_main_same_split,gauge_calibration_selector,macro_assay_pair,20,0.34720710058851295,0.10310524619154404,0.36949046493391524,0.1054758234469,0.005680613241755344,24633.1,9280.1
ours,ours_main_same_split,gauge_calibration_selector_micro,micro,20,0.19339644480983043,0.03574101910599562,0.4394500876531179,0.05745170602792971,0.0009092912670946848,24633.1,1.0
ours,ours_main_same_split,gauge_calibration_selector_micro,macro_target,20,0.2660054162687683,0.07677986450688422,0.34663286248669334,0.08215919652404104,0.0038015846352409946,24633.1,243.6
ours,ours_main_same_split,gauge_calibration_selector_micro,macro_assay_pair,20,0.34720710058851295,0.10310524619154404,0.36949046493391524,0.1054758234469,0.005680613241755344,24633.1,9280.1
ours,ours_main_same_split,somol_gauge_graph_blend,micro,20,0.19216142559955177,0.03513483180190523,0.43731748704086015,0.057324205221855294,-1.7650766840340924e-05,24633.1,1.0
ours,ours_main_same_split,somol_gauge_graph_blend,macro_target,20,0.26363324439647084,0.07782088070352378,0.3447255325866575,0.08271619625105198,0.0038796065484901195,24633.1,243.6
ours,ours_main_same_split,somol_gauge_graph_blend,macro_assay_pair,20,0.3434052261956034,0.10446779855577454,0.3656758501853292,0.10663965236660805,0.001899599061113235,24633.1,9280.1
ours,ours_main_same_split,somol_gauge_graph_blend_micro,micro,20,0.19216142559955177,0.03513483180190523,0.43731748704086015,0.057324205221855294,-1.7650766840340924e-05,24633.1,1.0
ours,ours_main_same_split,somol_gauge_graph_blend_micro,macro_target,20,0.26363324439647084,0.07782088070352378,0.3447255325866575,0.08271619625105198,0.0038796065484901195,24633.1,243.6
ours,ours_main_same_split,somol_gauge_graph_blend_micro,macro_assay_pair,20,0.3434052261956034,0.10446779855577454,0.3656758501853292,0.10663965236660805,0.001899599061113235,24633.1,9280.1
ours,ours_main_same_split,somol_guarded_stack,micro,20,0.19112966617154015,0.034198187705670326,0.4341696777365825,0.056244600021804037,-0.0008368219646825364,24633.1,1.0
ours,ours_main_same_split,somol_guarded_stack,macro_target,20,0.2587299306418981,0.07212782624586683,0.33918924580442017,0.0772887344793357,0.0012941962330468748,24633.1,243.6
ours,ours_main_same_split,somol_guarded_stack,macro_assay_pair,20,0.33916189384807444,0.10159270690850535,0.36137752467076606,0.1037288555836104,-0.0018618182963801404,24633.1,9280.1
ours,ours_main_same_split,somol_guarded_stack_micro,micro,20,0.19112966617154015,0.034198187705670326,0.4341696777365825,0.056244600021804037,-0.0008368219646825364,24633.1,1.0
ours,ours_main_same_split,somol_guarded_stack_micro,macro_target,20,0.2587299306418981,0.07212782624586683,0.33918924580442017,0.0772887344793357,0.0012941962330468748,24633.1,243.6
ours,ours_main_same_split,somol_guarded_stack_micro,macro_assay_pair,20,0.33916189384807444,0.10159270690850535,0.36137752467076606,0.1037288555836104,-0.0018618182963801404,24633.1,9280.1
ours,ours_main_same_split,somol_robust_blend_bucket,micro,20,0.18676573207092592,0.035370594027342606,0.43797254865166524,0.06011705343072626,-1.632285938953002e-05,24633.1,1.0
ours,ours_main_same_split,somol_robust_blend_bucket,macro_target,20,0.25509135431494767,0.07143651566868295,0.3392694115354383,0.07754714567072635,0.002645287735125905,24633.1,243.6
ours,ours_main_same_split,somol_robust_blend_bucket,macro_assay_pair,20,0.33711726041991874,0.102214025032372,0.36097321826491685,0.10409024852893858,-0.0015483126348005897,24633.1,9280.1
ours,ours_main_same_split,somol_stack,micro,20,0.1915929885363243,0.034835395941067736,0.4352774176844482,0.0559469614423257,-0.0004445406893946101,24633.1,1.0
ours,ours_main_same_split,somol_stack,macro_target,20,0.26332420141275475,0.07740763770986336,0.3443179568991781,0.08207749560753516,0.0035415646026794754,24633.1,243.6
ours,ours_main_same_split,somol_stack,macro_assay_pair,20,0.340961371688038,0.10139694134977642,0.3631638138030223,0.10373644528388315,-0.0001032778044742947,24633.1,9280.1
ours,ours_main_same_split,somol_stack_micro,micro,20,0.1915929885363243,0.034835395941067736,0.4352774176844482,0.0559469614423257,-0.0004445406893946101,24633.1,1.0
ours,ours_main_same_split,somol_stack_micro,macro_target,20,0.26332420141275475,0.07740763770986336,0.3443179568991781,0.08207749560753516,0.0035415646026794754,24633.1,243.6
ours,ours_main_same_split,somol_stack_micro,macro_assay_pair,20,0.340961371688038,0.10139694134977642,0.3631638138030223,0.10373644528388315,-0.0001032778044742947,24633.1,9280.1
ours_ablation,ours_ablation_same_split,gauge_calibration_selector_macro_assay_pair,micro,20,0.19400073500991005,0.03515795978111739,0.4377606930135792,0.055573398946197526,0.0011475749341875153,24633.1,1.0
ours_ablation,ours_ablation_same_split,gauge_calibration_selector_macro_assay_pair,macro_target,20,0.26485704357786977,0.07796936980275519,0.34577349299448246,0.08322239763395342,0.003706136624928924,24633.1,243.6
ours_ablation,ours_ablation_same_split,gauge_calibration_selector_macro_assay_pair,macro_assay_pair,20,0.3462395800710688,0.10114979423742652,0.36824181201932743,0.10381084949838093,0.0055344526002922,24633.1,9280.1
ours_ablation,ours_ablation_same_split,gauge_calibration_selector_macro_target,micro,20,0.19720049807697532,0.034793792808943784,0.4425977463831585,0.0596142458207011,0.00192739336516335,24633.1,1.0
ours_ablation,ours_ablation_same_split,gauge_calibration_selector_macro_target,macro_target,20,0.26243139496249535,0.07941383815659363,0.3430854534425325,0.08503440192417831,0.004632901017088206,24633.1,243.6
ours_ablation,ours_ablation_same_split,gauge_calibration_selector_macro_target,macro_assay_pair,20,0.35316999341407135,0.10006751089067716,0.37501541090280005,0.10258189754659151,0.007309794282701549,24633.1,9280.1
ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector,micro,20,0.19338165507496974,0.035040024554055485,0.44224143762311163,0.05852117007238362,-0.00031164125785614045,24633.1,1.0
ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector,macro_target,20,0.26257559730669267,0.07867462198586463,0.34417708832930205,0.08427882563995766,0.004036375765099225,24633.1,243.6
ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector,macro_assay_pair,20,0.34672662045488495,0.1039858087313518,0.3691451778320803,0.10582142693513476,0.000678671691049415,24633.1,9280.1
ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector_macro_assay_pair,micro,20,0.19413490154326868,0.03691132048653209,0.44339751966146734,0.057555759437564184,0.00111336266107873,24633.1,1.0
ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector_macro_assay_pair,macro_target,20,0.2639351852104151,0.08009101894471092,0.345825837146843,0.08582653479132586,0.004639271099921223,24633.1,243.6
ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector_macro_assay_pair,macro_assay_pair,20,0.34947890582312907,0.10675823257270659,0.37162717070849516,0.1088520660527116,0.005490926502748439,24633.1,9280.1
ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector_macro_target,micro,20,0.19338165507496974,0.035040024554055485,0.44224143762311163,0.05852117007238362,-0.00031164125785614045,24633.1,1.0
