dataset,endpoint,method,scope,n_runs,n_mean,mean_mae,std_mae,mean_rmse,mean_bias
BindingDB_Articles_202608,IC50,external_somol_gauge,cold_dst_assay,5,320.2,0.5165629959962056,0.06621520461329035,0.8124911451154766,0.002798540855872958
BindingDB_Articles_202608,IC50,external_somol_gauge,seen_assay_pair,5,1677.2,0.13419086664725927,0.01146441939938689,0.30530737796637186,-6.9303803442056234e-18
BindingDB_Articles_202608,IC50,external_somol_gauge,single_chain_target,5,2927.6,0.3065065521001844,0.03429689576887841,0.59465433051705,-9.995923055467356e-19
BindingDB_Articles_202608,IC50,external_somol_guarded_stack,all,5,3158.0,0.32570574806853936,0.041785620267796274,0.6263308412818306,4.909828124947562e-18
BindingDB_Articles_202608,IC50,external_somol_guarded_stack,both_assays_seen,5,2674.4,0.28844213661184065,0.05003041174294978,0.5785043041759406,7.433910236649187e-18
BindingDB_Articles_202608,IC50,external_somol_guarded_stack,cold_assay_pair,5,1480.8,0.5432344811792084,0.05255457394680968,0.8544822961108925,1.5801672734686012e-18
BindingDB_Articles_202608,IC50,external_somol_guarded_stack,cold_dst_assay,5,320.2,0.5086453673281417,0.07326644965043252,0.8144924615588532,0.0043065035862986795
BindingDB_Articles_202608,IC50,external_somol_guarded_stack,seen_assay_pair,5,1677.2,0.13185957755263567,0.009620442854405283,0.30413857538832656,6.242229503832022e-18
BindingDB_Articles_202608,IC50,external_somol_guarded_stack,single_chain_target,5,2927.6,0.3071319363252144,0.032417714943843635,0.6082316759246598,6.250920012261848e-18
BindingDB_Articles_202608,IC50,identity_bias,all,5,3158.0,0.34412199386341374,0.06518102874963518,0.6813158395530702,1.2095897533874193e-18
BindingDB_Articles_202608,IC50,identity_bias,both_assays_seen,5,2674.4,0.3143710673870857,0.0720704817989856,0.6483353590609701,-3.2696303423594124e-19
BindingDB_Articles_202608,IC50,identity_bias,cold_assay_pair,5,1480.8,0.5545416166720307,0.10123528806152433,0.9024617636269088,-4.3182108547428836e-19
BindingDB_Articles_202608,IC50,identity_bias,cold_dst_assay,5,320.2,0.49272907163448976,0.06210370666009499,0.8147760022082398,0.004791387225795118
BindingDB_Articles_202608,IC50,identity_bias,seen_assay_pair,5,1677.2,0.15280053760880905,0.013754135324903249,0.381001512231873,0.0
BindingDB_Articles_202608,IC50,identity_bias,single_chain_target,5,2927.6,0.3231747200100648,0.05232054572392957,0.6620061093282452,1.1196966593864494e-18
BindingDB_Articles_202608,IC50,pair_mean_bias_fallback,all,5,3158.0,0.3330948546579017,0.06499359408075103,0.6604789902003457,-6.0257911714852326e-18
BindingDB_Articles_202608,IC50,pair_mean_bias_fallback,both_assays_seen,5,2674.4,0.30134146977828336,0.07178755842109986,0.6219496984344772,-7.602024586531725e-18
