endpoint,seed,support_bucket,nominal_coverage,empirical_coverage,mean_interval_width,mean_abs_resid,n
IC50,31,02_5-9,0.9,0.8757894736842106,1.1396824836392483,0.21477359869778603,950
IC50,31,02_5-9,0.95,0.9505263157894737,1.649720879874298,0.21477359869778603,950
IC50,31,03_10-29,0.5,0.5144950124688279,0.2199850794622229,0.2276884564048248,12832
IC50,31,03_10-29,0.8,0.7969918952618454,0.7651905902514636,0.2276884564048248,12832
IC50,31,03_10-29,0.9,0.885676433915212,1.176746058337497,0.2276884564048248,12832
IC50,31,03_10-29,0.95,0.9427992518703242,1.6480851890453387,0.2276884564048248,12832
IC50,31,04_30plus,0.5,0.5025798769597142,0.0025714649029531245,0.07867119394454594,30234
IC50,31,04_30plus,0.8,0.8006548918436198,0.19043524256342792,0.07867119394454594,30234
IC50,31,04_30plus,0.9,0.9007739630879142,0.5148938979423905,0.07867119394454594,30234
IC50,31,04_30plus,0.95,0.9485678375339023,0.8826965415442158,0.07867119394454594,30234
IC50,31,all,0.5,0.4760140474100088,0.03859122714021357,0.20659604657092848,56950
IC50,31,all,0.8,0.7879543459174715,0.6399036898266779,0.20659604657092848,56950
IC50,31,all,0.9,0.8883757682177349,1.177446452035185,0.20659604657092848,56950
IC50,31,all,0.95,0.9487093942054434,1.833659596812545,0.20659604657092848,56950
KI,13,00_zero,0.5,0.692429022082019,0.5629731658144923,0.29944313986130067,2536
KI,13,00_zero,0.8,0.8698738170347003,1.467831978015842,0.29944313986130067,2536
KI,13,00_zero,0.9,0.9250788643533123,1.7789233787405259,0.29944313986130067,2536
KI,13,00_zero,0.95,0.9574132492113565,2.3330611569290762,0.29944313986130067,2536
KI,13,01_1-4,0.5,0.35964912280701755,0.026858430059911953,0.26949571300478553,3078
KI,13,01_1-4,0.8,0.6942820012995452,0.6375175252488248,0.26949571300478553,3078
KI,13,01_1-4,0.9,0.9567901234567902,2.179533218086071,0.26949571300478553,3078
KI,13,01_1-4,0.95,0.9619883040935673,2.807618092108287,0.26949571300478553,3078
KI,13,02_5-9,0.5,0.17452135493372606,0.006565590883979233,0.3435340881849292,1358
KI,13,02_5-9,0.8,0.4948453608247423,0.14922264449492628,0.3435340881849292,1358
KI,13,02_5-9,0.9,0.6730486008836525,0.5355989569919526,0.3435340881849292,1358
KI,13,02_5-9,0.95,0.8799705449189985,1.4842236503714197,0.3435340881849292,1358
KI,13,03_10-29,0.5,0.3441250348869662,0.02501481576712017,0.33545887660869345,7166
KI,13,03_10-29,0.8,0.5827518838961764,0.1270676773866377,0.33545887660869345,7166
KI,13,03_10-29,0.9,0.7195087915154899,0.4887506997978086,0.33545887660869345,7166
KI,13,03_10-29,0.95,0.7739324588333798,0.8312558644255077,0.33545887660869345,7166
KI,13,04_30plus,0.5,0.4919653893695921,0.0010343823549696651,0.07528954443882473,6472
KI,13,04_30plus,0.8,0.8144313967861557,0.04924163526829339,0.07528954443882473,6472
KI,13,04_30plus,0.9,0.8753090234857849,0.3293894392065013,0.07528954443882473,6472
KI,13,04_30plus,0.95,0.9412855377008653,0.9614477784845696,0.07528954443882473,6472
KI,13,all,0.5,0.43605046094129063,0.012510198471328948,0.2400090800804509,20610
KI,13,all,0.8,0.6622028141678796,0.20587682544734776,0.2400090800804509,20610
KI,13,all,0.9,0.8031052886948084,0.7122599148718614,0.2400090800804509,20610
KI,13,all,0.95,0.9205240174672489,1.5476597532020036,0.2400090800804509,20610
KI,17,00_zero,0.5,0.9202564945741533,0.5382817025009974,0.059247387285507463,12164
KI,17,00_zero,0.8,0.9891483064781322,1.7592177822848427,0.059247387285507463,12164
KI,17,00_zero,0.9,0.9921078592568234,2.0755771217787995,0.059247387285507463,12164
KI,17,00_zero,0.95,0.9978625452153896,3.241919157791191,0.059247387285507463,12164
KI,17,01_1-4,0.5,0.6699751861042184,0.15368006046544025,0.21018151220675685,2418
KI,17,01_1-4,0.8,0.8122415219189413,0.6814025015819614,0.21018151220675685,2418
KI,17,01_1-4,0.9,0.8395368072787428,1.045828971483704,0.21018151220675685,2418
KI,17,01_1-4,0.95,0.9536807278742763,2.072607943296879,0.21018151220675685,2418
KI,17,02_5-9,0.5,0.5033112582781457,0.16657060924688594,0.29544391214181426,906
KI,17,02_5-9,0.8,0.847682119205298,1.2221783720468977,0.29544391214181426,906
KI,17,02_5-9,0.9,0.9183222958057395,1.6494460297512754,0.29544391214181426,906
KI,17,02_5-9,0.95,0.9492273730684326,2.1459686502168998,0.29544391214181426,906
KI,17,03_10-29,0.5,0.4295705279747833,0.03489898806494374,0.21902542098637182,10152
KI,17,03_10-29,0.8,0.6892237982663515,0.20692239731750042,0.21902542098637182,10152
KI,17,03_10-29,0.9,0.8160953506698188,0.51289941073754,0.21902542098637182,10152
KI,17,03_10-29,0.95,0.9273049645390071,1.251461462316021,0.21902542098637182,10152
KI,17,04_30plus,0.5,0.5368098159509203,0.00031860273347206203,0.05727304466541077,6194
KI,17,04_30plus,0.8,0.8256377139166936,0.014855860684706457,0.05727304466541077,6194
KI,17,04_30plus,0.9,0.9215369712625121,0.4462886292358003,0.05727304466541077,6194
KI,17,04_30plus,0.95,0.9622215046819502,1.1985102698708812,0.05727304466541077,6194
KI,17,all,0.5,0.6029402525601558,0.030222811199582367,0.12800375737791467,31834
KI,17,all,0.8,0.8231450650248162,0.2961752980959386,0.12800375737791467,31834
KI,17,all,0.9,0.9109756863730603,0.8452608596795924,0.12800375737791467,31834
KI,17,all,0.95,0.9574354463780863,1.533537157872784,0.12800375737791467,31834
KI,23,00_zero,0.5,0.3831860412417856,0.0,0.15049229442583714,26478
KI,23,00_zero,0.8,0.8296699146461213,0.18684337032447118,0.15049229442583714,26478
KI,23,00_zero,0.9,0.8949316413626407,1.1126050015345754,0.15049229442583714,26478
KI,23,00_zero,0.95,0.9266560918498375,1.5746431828713483,0.15049229442583714,26478
KI,23,01_1-4,0.5,0.4613251155624037,0.11715375828641417,0.23295541996050959,6490
KI,23,01_1-4,0.8,0.7864406779661017,0.8546742037143638,0.23295541996050959,6490
KI,23,01_1-4,0.9,0.9432973805855162,1.639309635729632,0.23295541996050959,6490
KI,23,01_1-4,0.95,0.9738058551617874,2.1441760942167996,0.23295541996050959,6490
KI,23,02_5-9,0.5,0.5308498253783469,0.03917429594998367,0.19489589455180248,1718
KI,23,02_5-9,0.8,0.7764842840512224,0.30121511448601623,0.19489589455180248,1718
KI,23,02_5-9,0.9,0.8655413271245634,0.6408486163306674,0.19489589455180248,1718
KI,23,02_5-9,0.95,0.8841676367869615,0.810444739610638,0.19489589455180248,1718
KI,23,03_10-29,0.5,0.48723089911355,0.056251720502890734,0.24193881013505383,9476
KI,23,03_10-29,0.8,0.7541156606162938,0.1876299492945546,0.24193881013505383,9476
KI,23,03_10-29,0.9,0.8494090333474039,0.5531484026096906,0.24193881013505383,9476
