endpoint,route_group,source_type,method,scope,n_runs,mean_mae,std_mae,mean_rmse,std_rmse,mean_bias,mean_n,mean_groups
EC50,classic,ours_rerun_same_split,pair_isotonic,macro_assay_pair,5,0.43210848659517576,0.04266166687854904,0.4578486580945656,0.04431888597092174,-0.030927871281007942,6882.4,1518.4
EC50,classic,ours_rerun_same_split,target_pair_affine,micro,5,0.169997367696742,0.02715567319282849,0.42476824217205555,0.07484823267805857,-0.00692675259818602,6882.4,1.0
EC50,classic,ours_rerun_same_split,target_pair_affine,macro_target,5,0.3075784759406546,0.015882092477617252,0.4050010428982468,0.018806832284592085,-0.0004122736659711001,6882.4,115.0
EC50,classic,ours_rerun_same_split,target_pair_affine,macro_assay_pair,5,0.4285667280024465,0.043034979287748035,0.4513640375122785,0.04511592468726053,-0.03196767789549116,6882.4,1518.4
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_global,micro,5,0.16987747797982797,0.029355855690105927,0.4310555220887616,0.08682463455549115,-0.0046930766699593,6882.4,1.0
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_global,macro_target,5,0.2792610068789468,0.030751530798253816,0.3776524653530662,0.04076412176116657,-0.0027994373787774605,6882.4,115.0
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_global,macro_assay_pair,5,0.4312132875214614,0.06219615418866757,0.45405372275374684,0.06547630254140505,-0.02279524003753628,6882.4,1518.4
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_selector,micro,5,0.16891235585494446,0.028596356019631362,0.43061527547230954,0.08331827284134599,-0.00420299077441552,6882.4,1.0
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_selector,macro_target,5,0.2917751952417117,0.020544962869323148,0.38953135528959215,0.027395079726109082,-0.0029005090102177597,6882.4,115.0
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_selector,macro_assay_pair,5,0.43065161191466644,0.05967673873864204,0.45341387629742635,0.06311065236136153,-0.0213740265134252,6882.4,1518.4
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_selector_macro_assay_pair,micro,5,0.16867420216548928,0.028363800233727712,0.42743757446946534,0.07931251835226591,-0.0043722218848346,6882.4,1.0
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_selector_macro_assay_pair,macro_target,5,0.2929665143383046,0.019474936272111273,0.388323681828287,0.027824839006285292,-0.0029201850594903003,6882.4,115.0
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_selector_macro_assay_pair,macro_assay_pair,5,0.4301545575737956,0.059013310259044126,0.45284594511518855,0.062439245248446594,-0.021563211441655062,6882.4,1518.4
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_selector_macro_target,micro,5,0.17033303524739166,0.02905823886635552,0.43612741112492764,0.0895596528714086,-0.00226103970630756,6882.4,1.0
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_selector_macro_target,macro_target,5,0.2810208710757362,0.029966513965213836,0.37863020274729425,0.0438981654759837,-0.0010107004547612803,6882.4,115.0
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_selector_macro_target,macro_assay_pair,5,0.4372902219175153,0.0658766688306679,0.46000810073876774,0.06938488787963473,-0.01062993844856798,6882.4,1518.4
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,micro,5,0.16891235585494446,0.028596356019631362,0.43061527547230954,0.08331827284134599,-0.00420299077441552,6882.4,1.0
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,macro_target,5,0.2917751952417117,0.020544962869323148,0.38953135528959215,0.027395079726109082,-0.0029005090102177597,6882.4,115.0
EC50,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,macro_assay_pair,5,0.43065161191466644,0.05967673873864204,0.45341387629742635,0.06311065236136153,-0.0213740265134252,6882.4,1518.4
EC50,method_comparison,ours_rerun_same_split,deming_bias_fallback,micro,5,0.24688674993907714,0.05343030989133247,2.179823212146546,1.3346652580085503,-0.00516094988665256,6882.4,1.0
EC50,method_comparison,ours_rerun_same_split,deming_bias_fallback,macro_assay_pair,5,0.5283247783079147,0.07790585872567574,0.5833448925018813,0.10005654477845621,-0.01371735190465422,6882.4,1518.4
EC50,method_comparison,ours_rerun_same_split,deming_bias_fallback,macro_target,5,0.5325240851248607,0.21624283536317107,0.9804677054037942,0.4307317200002138,-0.06203443477640462,6882.4,115.0
EC50,method_comparison,ours_rerun_same_split,odr_tls_bias_fallback,micro,5,0.24653754088220364,0.053436312759014996,2.179700843089726,1.3347368293395445,-0.005460162017764861,6882.4,1.0
EC50,method_comparison,ours_rerun_same_split,odr_tls_bias_fallback,macro_assay_pair,5,0.5277722432113551,0.07802935433342977,0.5828224062752563,0.10013934794868637,-0.014222793787493759,6882.4,1518.4
EC50,method_comparison,ours_rerun_same_split,odr_tls_bias_fallback,macro_target,5,0.5320118736625725,0.2164889845896385,0.9802461286458296,0.4308291395534601,-0.062285881069745065,6882.4,115.0
EC50,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,micro,5,0.1673748277473322,0.03184193949098049,0.44306664385442235,0.0867607349125972,0.00329557529369364,6882.4,1.0
EC50,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,macro_target,5,0.2691007463778733,0.028859614699442957,0.37311943848610646,0.04187339666113747,0.00485186129228408,6882.4,115.0
EC50,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,macro_assay_pair,5,0.4416216706006429,0.06892383168525723,0.46577498883811164,0.07109998324483187,0.00053901761446974,6882.4,1518.4
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k1,micro,5,0.5022248882970147,0.1114408263946639,1.6756846645305177,0.6696726892064089,-0.03996691995993832,6882.4,1.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k1,macro_target,5,0.9014859175507419,0.1239147117776875,1.2342559745655568,0.1692338559133674,-0.010733539671215542,6882.4,115.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k1,macro_assay_pair,5,1.008916209441947,0.26642858780398393,1.0428530697330856,0.27990121220798725,-0.16419219220761103,6882.4,1518.4
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k20,micro,5,0.4703527061263445,0.07890284119259912,1.066746149590005,0.21063380472433282,-0.00893714126515888,6882.4,1.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k20,macro_assay_pair,5,0.8186146799082781,0.13599858199315748,0.8500098674142885,0.13052773391965497,-0.052851576485674824,6882.4,1518.4
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k20,macro_target,5,0.8917258510827042,0.12359736665124216,1.1257497185346803,0.201434407909164,0.02566430329513434,6882.4,115.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k5,micro,5,0.49113389906221483,0.09889126560583686,1.3927303616454971,0.4163675006653776,-0.01816749395566614,6882.4,1.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k5,macro_assay_pair,5,0.94540567775384,0.17747699279469115,0.979405837701895,0.1834381084559925,-0.09293906735095055,6882.4,1518.4
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_affine_k5,macro_target,5,1.0321443108983728,0.22392827005857335,1.376162989779519,0.3571867275552567,-0.05339837747511557,6882.4,115.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k1,micro,5,0.43302379027595367,0.06446553502780625,1.030047231626813,0.12757264451815145,-0.00920865358329526,6882.4,1.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k1,macro_target,5,0.7325344879930775,0.0391284175240275,0.8646483922329123,0.03746270596486339,-0.0012139832356221,6882.4,115.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k1,macro_assay_pair,5,0.7441432879496919,0.10164701945439952,0.7668644039386103,0.10336208623035491,-0.004603726569674879,6882.4,1518.4
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k20,micro,5,0.3620199144009436,0.03870752556450363,0.8531627565762394,0.05741083971053136,0.00046171341455708006,6882.4,1.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k20,macro_assay_pair,5,0.5941456968523572,0.04976244608201692,0.6190000256858694,0.05323656428483942,0.00028911139836614,6882.4,1518.4
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k20,macro_target,5,0.608271501374922,0.03280201001673346,0.7177627432330218,0.03995831136465454,1.4011049633039435e-05,6882.4,115.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k5,micro,5,0.38305632210858953,0.04832179336410763,0.8963503317380077,0.07136241796305012,-0.0024109255945739,6882.4,1.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k5,macro_assay_pair,5,0.6298221699968837,0.05643347602452873,0.6543675650375134,0.05723758522488734,0.0023008765791350397,6882.4,1518.4
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_knn_delta_k5,macro_target,5,0.6472873819940539,0.026190576602960307,0.7615947545218649,0.031562382327228085,0.00010673571750266002,6882.4,115.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k1,micro,5,0.26325493697422153,0.10224301764047922,1.0900847018290558,0.5394785632917035,-0.030433282254528703,6882.4,1.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k1,macro_target,5,0.47542333668453374,0.13992606511529,0.7011360713589655,0.195399069933248,-0.038155394083441,6882.4,115.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k1,macro_assay_pair,5,0.8044073531770461,0.2933564518647515,0.8339544093978007,0.30761367273698986,-0.1453637291072905,6882.4,1518.4
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k20,micro,5,0.22831554612145138,0.07483468404100284,0.6822338572739999,0.22182050315093832,-0.017259153502606463,6882.4,1.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k20,macro_target,5,0.44263445237555954,0.05779185908588448,0.6132048407043983,0.103287652356423,-0.016988348650971638,6882.4,115.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k20,macro_assay_pair,5,0.6500566256775804,0.1626416028205081,0.6772701358086282,0.15950848892056846,-0.07227523154730509,6882.4,1518.4
