endpoint,seed,filter,n,primary_mae,baseline_mae,delta_baseline_minus_primary
KD,17,target_confidence_9,1490,0.22278404013313208,0.22608413693371912,0.0033000968005870435
KD,17,single_protein_target,1490,0.22278404013313208,0.22608413693371912,0.0033000968005870435
KD,17,assay_n_ge_50,734,0.1304275289250632,0.13042752892506654,3.3306690738754696e-15
KD,17,assay_n_ge_100,430,6.568389243363717e-15,1.2227944754941259e-14,5.659555511577542e-15
KD,17,pair_support_ge_5,1414,0.21525516803565078,0.215308468572608,5.3300536957207045e-05
KD,17,pair_support_ge_10,1354,0.20820208406861207,0.20825774652005782,5.566245144575377e-05
KD,17,pair_support_ge_20,884,0.16289209345816133,0.16290167112231013,9.577664148802123e-06
KD,23,all,1716,0.22832750424688353,0.22373662001981248,-0.004590884227071046
KD,23,activity_in_2_12,1716,0.22832750424688353,0.22373662001981248,-0.004590884227071046
KD,23,no_data_validity_comment,1638,0.21976751745006176,0.21509685109047308,-0.004670666359588682
KD,23,no_potential_duplicate_flag,754,0.37008700059529775,0.3749054379418555,0.004818437346557736
KD,23,publication_only,1134,0.31832944207321034,0.31661660739412195,-0.001712834679088393
KD,23,target_confidence_9,1716,0.22832750424688353,0.22373662001981248,-0.004590884227071046
KD,23,single_protein_target,1716,0.22832750424688353,0.22373662001981248,-0.004590884227071046
KD,23,assay_n_ge_50,834,0.1355647754308507,0.13556477543085296,2.275957200481571e-15
KD,23,assay_n_ge_100,516,1.8245525676010325e-15,5.473657702803098e-15,3.649105135202065e-15
KD,23,pair_support_ge_5,1588,0.21399978656555002,0.21032990041117428,-0.0036698861543757455
KD,23,pair_support_ge_10,1418,0.21255413710890506,0.2109581455811093,-0.0015959915277957426
KD,23,pair_support_ge_20,982,0.15917883511176267,0.15924530700574008,6.64718939774045e-05
KD,29,all,1588,0.23156747641245617,0.2275156567109335,-0.004051819701522685
KD,29,activity_in_2_12,1588,0.23156747641245617,0.2275156567109335,-0.004051819701522685
KD,29,no_data_validity_comment,1540,0.22839668768537513,0.22610708111512437,-0.002289606570250763
KD,29,no_potential_duplicate_flag,782,0.3527248509027151,0.35155714624398837,-0.0011677046587267315
KD,29,publication_only,1116,0.3095433810617334,0.304603141440424,-0.004940239621309406
KD,29,target_confidence_9,1588,0.23156747641245617,0.2275156567109335,-0.004051819701522685
KD,29,single_protein_target,1588,0.23156747641245617,0.2275156567109335,-0.004051819701522685
KD,29,assay_n_ge_50,728,0.13543563760102562,0.13535529696179338,-8.034063923223478e-05
KD,29,assay_n_ge_100,416,1.0043248284301417e-14,1.3613042317326919e-14,3.5697940330255025e-15
KD,29,pair_support_ge_5,1542,0.2238982964354124,0.2234005007921036,-0.0004977956433087904
KD,29,pair_support_ge_10,1374,0.22436209691761141,0.2241968723534459,-0.00016522456416551146
KD,29,pair_support_ge_20,890,0.16489226745955834,0.16417300502576768,-0.0007192624337906683
KD,31,all,1662,0.2370755530609532,0.24098687409673153,0.00391132103577832
KD,31,activity_in_2_12,1662,0.2370755530609532,0.24098687409673153,0.00391132103577832
KD,31,no_data_validity_comment,1614,0.23560135934452106,0.2384638432258667,0.0028624838813456344
KD,31,no_potential_duplicate_flag,744,0.36304664112142476,0.3617442399163533,-0.0013024012050714684
KD,31,publication_only,1154,0.3143976881668391,0.3181724082657991,0.003774720098960016
KD,31,target_confidence_9,1662,0.2370755530609532,0.24098687409673153,0.00391132103577832
KD,31,single_protein_target,1662,0.2370755530609532,0.24098687409673153,0.00391132103577832
KD,31,assay_n_ge_50,776,0.15189813723838788,0.15189813723838802,1.3877787807814457e-16
KD,31,assay_n_ge_100,446,8.252491863760805e-15,8.507395087351871e-15,2.549032235910665e-16
KD,31,pair_support_ge_5,1550,0.22675791137353643,0.23098681683824082,0.004228905464704391
KD,31,pair_support_ge_10,1380,0.2249830359587491,0.2249830359587492,8.326672684688674e-17
KD,31,pair_support_ge_20,934,0.1767339891182259,0.176733989118226,8.326672684688674e-17
EC50,13,all,6352,0.12758125740820167,0.12899976605073146,0.0014185086425297921
