endpoint,seed,filter,n,primary_mae,baseline_mae,delta_baseline_minus_primary
EC50,13,activity_in_2_12,6334,0.1278107772890485,0.12933150688726422,0.0015207295982157254
EC50,13,no_data_validity_comment,6242,0.12523042895795794,0.1265171791670201,0.0012867502090621596
EC50,13,no_potential_duplicate_flag,1812,0.33780221838080376,0.3402072798108253,0.00240506143002156
EC50,13,publication_only,1784,0.3479715318519435,0.35445493905980624,0.006483407207862724
EC50,13,target_confidence_9,6352,0.12758125740820167,0.12899976605073146,0.0014185086425297921
EC50,13,single_protein_target,6352,0.12758125740820167,0.12899976605073146,0.0014185086425297921
EC50,13,assay_n_ge_50,4294,0.03968794242734966,0.03975792984573371,6.998741838405015e-05
EC50,13,assay_n_ge_100,3664,0.026633631754407416,0.026748145475094035,0.00011451372068661814
EC50,13,pair_support_ge_5,5864,0.09513577131659728,0.09581939892444762,0.0006836276078503317
EC50,13,pair_support_ge_10,5714,0.09283406876418825,0.09353584611653683,0.0007017773523485815
EC50,13,pair_support_ge_20,5014,0.06950691769607088,0.06963004555910872,0.0001231278630378363
EC50,17,all,7290,0.2017517821020692,0.21169814258100106,0.009946360478931854
EC50,17,activity_in_2_12,7266,0.20231391717000996,0.2123685889839013,0.01005467181389133
EC50,17,no_data_validity_comment,7140,0.1998783518842812,0.2103269859415756,0.010448634057294376
EC50,17,no_potential_duplicate_flag,2122,0.3831980235261913,0.39565446894926926,0.012456445423077944
EC50,17,publication_only,3034,0.4450695133842412,0.46690887866621456,0.021839365281973333
EC50,17,target_confidence_9,7290,0.2017517821020692,0.21169814258100106,0.009946360478931854
EC50,17,single_protein_target,7290,0.2017517821020692,0.21169814258100106,0.009946360478931854
EC50,17,assay_n_ge_50,4024,0.027594059284256768,0.0292497605202659,0.0016557012360091314
EC50,17,assay_n_ge_100,3390,0.01564722371591377,0.018271860744006836,0.002624637028093065
EC50,17,pair_support_ge_5,5644,0.0984291560563782,0.10207687874197506,0.003647722685596863
