scenario,route_group,source_type,method,scope,n_runs,mean_mae,std_mae,mean_rmse,std_rmse,mean_bias,mean_n,mean_groups
assay_node_ood_unseen,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,macro_target,20,0.4755449609664538,0.34336137674186334,0.536783389854883,0.35661876892681743,0.06664901089495513,3759.8,62.8
assay_node_ood_unseen,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,macro_assay_pair,20,0.513181501316469,0.38248576076115115,0.5137690732512702,0.3828257562331491,0.052922741717301935,3759.8,3701.7
assay_node_ood_unseen,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,micro,20,0.514292252487471,0.38321057900194805,0.7380693406241278,0.45579770922460444,0.05302340247172062,3759.8,1.0
assay_node_ood_unseen,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,macro_target,20,0.39581962427492484,0.19612343410155242,0.4534949046036658,0.21632957771876693,0.0,3759.8,62.8
assay_node_ood_unseen,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,macro_assay_pair,20,0.44806822839624816,0.2821260540984133,0.4488077187983614,0.28299033575520555,-7.450385703368066e-19,3759.8,3701.7
assay_node_ood_unseen,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,micro,20,0.4484762398105738,0.28222873030726864,0.685684027686712,0.3673564718742644,0.0,3759.8,1.0
assay_node_ood_unseen,missing_modality,ours_rerun_same_split,missing_metadata_pair_or_global_delta,macro_target,20,0.39581962427492484,0.19612343410155242,0.4534949046036658,0.21632957771876693,0.0,3759.8,62.8
assay_node_ood_unseen,missing_modality,ours_rerun_same_split,missing_metadata_pair_or_global_delta,macro_assay_pair,20,0.44806822839624816,0.2821260540984133,0.4488077187983614,0.28299033575520555,-7.450385703368066e-19,3759.8,3701.7
assay_node_ood_unseen,missing_modality,ours_rerun_same_split,missing_metadata_pair_or_global_delta,micro,20,0.4484762398105738,0.28222873030726864,0.685684027686712,0.3673564718742644,0.0,3759.8,1.0
assay_node_ood_unseen,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,micro,20,0.9081829944163298,0.4178037744227804,2.0350761818563146,1.057159145694055,-0.040384322206039006,3759.8,1.0
assay_node_ood_unseen,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,macro_assay_pair,20,0.9168517913768884,0.42259623284625386,0.9187064250463436,0.4231410660645334,-0.0410479594285975,3759.8,3701.7
assay_node_ood_unseen,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,macro_target,20,1.032731873285654,0.4269863810102463,1.4127192540532585,0.6312819535929463,-0.014716221898288195,3759.8,62.8
